Localidad;Año;Regimen afiliación;Estimado afiliados
Suba;2020;R. subsidiado;109,432
Barrios Unidos;2020;R. subsidiado;13,336
Teusaquillo;2020;R. subsidiado;2,726
Los Mártires;2020;R. subsidiado;17,971
Antonio Nariño;2020;R. subsidiado;10,936
Puente Aranda;2020;R. subsidiado;22,604
La Candelaria;2020;R. subsidiado;4,738
Rafael Uribe Uribe;2020;R. subsidiado;97.34
Ciudad Bolívar;2020;R. subsidiado;200,718
Sumapaz;2020;R. subsidiado;1.52
Sin dato de localidad;2020;R. subsidiado;220,639
Distrito;2020;R. subsidiado;1,470,624
Usaquén;2020;No afiliados;472
Chapinero;2020;No afiliados;31
Santa Fe;2020;No afiliados;74
San Cristóbal;2020;No afiliados;775
Usme;2020;No afiliados;490
Tunjuelito;2020;No afiliados;825
Bosa;2020;No afiliados;1088
Kennedy;2020;No afiliados;2,276
Fontibón;2020;No afiliados;340
Engativá;2020;No afiliados;2,663
Suba;2020;No afiliados;1,699
Barrios Unidos;2020;No afiliados;63
Teusaquillo;2020;No afiliados;24
Los Mártires;2020;No afiliados;194
Antonio Nariño;2020;No afiliados;147
Puente Aranda;2020;No afiliados;135
La Candelaria;2020;No afiliados;23
Rafael Uribe Uribe;2020;No afiliados;889
Ciudad Bolívar;2020;No afiliados;1089
Sumapaz;2020;No afiliados;6
Sin dato de localidad;2020;No afiliados;0
Distrito;2020;No afiliados;13,303
Usaquén;2021;R. contributivo;442,155
Chapinero;2021;R. contributivo;107,041
Santa Fe;2021;R. contributivo;57,437
San Cristóbal;2021;R. contributivo;279,036
Usme;2021;R. contributivo;216,013
Tunjuelito;2021;R. contributivo;131,303
Bosa;2021;R. contributivo;557,514
Kennedy;2021;R. contributivo;989,469
Fontibón;2021;R. contributivo;366,601
Engativá;2021;R. contributivo;754,112
Suba;2021;R. contributivo;1,123,765
Barrios Unidos;2021;R. contributivo;227,735
Teusaquillo;2021;R. contributivo;145,523
Los Mártires;2021;R. contributivo;74,562
Antonio Nariño;2021;R. contributivo;94.3
Puente Aranda;2021;R. contributivo;213,819
La Candelaria;2021;R. contributivo;18,041
Rafael Uribe Uribe;2021;R. contributivo;251,187
Ciudad Bolívar;2021;R. contributivo;491,819
Sumapaz;2021;R. contributivo;882
Sin dato de localidad;2021;R. contributivo;0
Distrito;2021;R. contributivo;6,542,314
Usaquén;2021;R. excepción;13,177
Chapinero;2021;R. excepción;3,878
Santa Fe;2021;R. excepción;1,982
San Cristóbal;2021;R. excepción;10,529
Usme;2021;R. excepción;5,594
Tunjuelito;2021;R. excepción;9.73
Bosa;2021;R. excepción;14,258
Kennedy;2021;R. excepción;37,604
Fontibón;2021;R. excepción;15,982
Engativá;2021;R. excepción;28,179
Suba;2021;R. excepción;23,973
Barrios Unidos;2021;R. excepción;8,531
Teusaquillo;2021;R. excepción;5,218
Los Mártires;2021;R. excepción;2.82
Antonio Nariño;2021;R. excepción;4,168
Puente Aranda;2021;R. excepción;6,816
La Candelaria;2021;R. excepción;494
Rafael Uribe Uribe;2021;R. excepción;5,171
Ciudad Bolívar;2021;R. excepción;10,459
Sumapaz;2021;R. excepción;29
Sin dato de localidad;2021;R. excepción;0
Distrito;2021;R. excepción;208,592
Usaquén;2021;R. subsidiado;32,736
Chapinero;2021;R. subsidiado;8,762
Santa Fe;2021;R. subsidiado;31,211
San Cristóbal;2021;R. subsidiado;104,129
Usme;2021;R. subsidiado;117,258
Tunjuelito;2021;R. subsidiado;38,948
Bosa;2021;R. subsidiado;164.93
Kennedy;2021;R. subsidiado;149,112
Fontibón;2021;R. subsidiado;27,293
Engativá;2021;R. subsidiado;84,973
Suba;2021;R. subsidiado;106.16
Barrios Unidos;2021;R. subsidiado;11,727
Teusaquillo;2021;R. subsidiado;2,656
Los Mártires;2021;R. subsidiado;16,627
Antonio Nariño;2021;R. subsidiado;11,087
Puente Aranda;2021;R. subsidiado;21,097
La Candelaria;2021;R. subsidiado;5.67
Rafael Uribe Uribe;2021;R. subsidiado;96,245
Ciudad Bolívar;2021;R. subsidiado;198,721
Sumapaz;2021;R. subsidiado;1,253
Sin dato de localidad;2021;R. subsidiado;197,607
Distrito;2021;R. subsidiado;1,428,202
Usaquén;2021;No afiliados;0
Chapinero;2021;No afiliados;0
Santa Fe;2021;No afiliados;0
San Cristóbal;2021;No afiliados;0
Usme;2021;No afiliados;0
Tunjuelito;2021;No afiliados;0
Bosa;2021;No afiliados;0
Kennedy;2021;No afiliados;0
Fontibón;2021;No afiliados;0
Engativá;2021;No afiliados;0
Suba;2021;No afiliados;0
Barrios Unidos;2021;No afiliados;0
Teusaquillo;2021;No afiliados;0
Los Mártires;2021;No afiliados;0
Antonio Nariño;2021;No afiliados;0
Puente Aranda;2021;No afiliados;0
La Candelaria;2021;No afiliados;0
Rafael Uribe Uribe;2021;No afiliados;0
Ciudad Bolívar;2021;No afiliados;0
Sumapaz;2021;No afiliados;0
Sin dato de localidad;2021;No afiliados;2,389
Distrito;2021;No afiliados;2,389
Usaquén;2022;R. contributivo;540,295
Chapinero;2022;R. contributivo;167,309
Santa Fe;2022;R. contributivo;64,123
San Cristóbal;2022;R. contributivo;283,717
Usme;2022;R. contributivo;233.68
Tunjuelito;2022;R. contributivo;121,238
Bosa;2022;R. contributivo;503,822
Kennedy;2022;R. contributivo;792,654
Fontibón;2022;R. contributivo;364,112
Engativá;2022;R. contributivo;705.2
Suba;2022;R. contributivo;1,131,332
Barrios Unidos;2022;R. contributivo;131,882
Teusaquillo;2022;R. contributivo;165.34
Los Mártires;2022;R. contributivo;51,021
Antonio Nariño;2022;R. contributivo;66.13
Puente Aranda;2022;R. contributivo;220,193
La Candelaria;2022;R. contributivo;12,345
Rafael Uribe Uribe;2022;R. contributivo;252,898
Ciudad Bolívar;2022;R. contributivo;394.59
Sumapaz;2022;R. contributivo;1,334
Sin dato de localidad;2022;R. contributivo;0
Distrito;2022;R. contributivo;6,203,215
Usaquén;2022;R. excepción;17,154
Chapinero;2022;R. excepción;4,524
Santa Fe;2022;R. excepción;2,653
San Cristóbal;2022;R. excepción;7,745
Usme;2022;R. excepción;4,708
Tunjuelito;2022;R. excepción;6,094
Bosa;2022;R. excepción;9,024
Kennedy;2022;R. excepción;34,829
Fontibón;2022;R. excepción;9,977
Engativá;2022;R. excepción;21,961
Suba;2022;R. excepción;33,247
Barrios Unidos;2022;R. excepción;3,741
Teusaquillo;2022;R. excepción;8.1
Los Mártires;2022;R. excepción;1,726
Antonio Nariño;2022;R. excepción;2,665
Puente Aranda;2022;R. excepción;7,437
La Candelaria;2022;R. excepción;282
Rafael Uribe Uribe;2022;R. excepción;7,442
Ciudad Bolívar;2022;R. excepción;7.26
Sumapaz;2022;R. excepción;34
Sin dato de localidad;2022;R. excepción;0
Distrito;2022;R. excepción;190,603
Usaquén;2022;R. subsidiado;36,304
Chapinero;2022;R. subsidiado;9,724
Santa Fe;2022;R. subsidiado;32,619
San Cristóbal;2022;R. subsidiado;106,616
Usme;2022;R. subsidiado;120,305
Tunjuelito;2022;R. subsidiado;40,595
Bosa;2022;R. subsidiado;172,307
Kennedy;2022;R. subsidiado;160,069
Fontibón;2022;R. subsidiado;28,946
Engativá;2022;R. subsidiado;92,843
Suba;2022;R. subsidiado;115,295
Barrios Unidos;2022;R. subsidiado;11,956
Teusaquillo;2022;R. subsidiado;2,831
Los Mártires;2022;R. subsidiado;17,632
Antonio Nariño;2022;R. subsidiado;11,565
Puente Aranda;2022;R. subsidiado;21,844
La Candelaria;2022;R. subsidiado;5,759
Rafael Uribe Uribe;2022;R. subsidiado;100,541
Ciudad Bolívar;2022;R. subsidiado;205,225
Sumapaz;2022;R. subsidiado;1.42
Sin dato de localidad;2022;R. subsidiado;382,077
Distrito;2022;R. subsidiado;1,676,473
Usaquén;2023 ENERO;R. contributivo;534.732
Chapinero;2023 ENERO;R. contributivo;165.586
Santa Fe;2023 ENERO;R. contributivo;63.463
San Cristóbal;2023 ENERO;R. contributivo;280.796
Usme;2023 ENERO;R. contributivo;231.274
Tunjuelito;2023 ENERO;R. contributivo;119.99
Bosa;2023 ENERO;R. contributivo;498.635
Kennedy;2023 ENERO;R. contributivo;784.493
Fontibón;2023 ENERO;R. contributivo;360.364
Engativá;2023 ENERO;R. contributivo;697.94
Suba;2023 ENERO;R. contributivo;1,119,684
Barrios Unidos;2023 ENERO;R. contributivo;130.524
Teusaquillo;2023 ENERO;R. contributivo;163.637
Los Mártires;2023 ENERO;R. contributivo;50.496
Antonio Nariño;2023 ENERO;R. contributivo;65.449
Puente Aranda;2023 ENERO;R. contributivo;217.926
La Candelaria;2023 ENERO;R. contributivo;12.218
Rafael Uribe Uribe;2023 ENERO;R. contributivo;250.294
Ciudad Bolívar;2023 ENERO;R. contributivo;390.527
Sumapaz;2023 ENERO;R. contributivo;1.32
Sin dato de localidad;2023 ENERO;R. contributivo;
Distrito;2023 ENERO;R. contributivo;6,139,348
Usaquén;2023 ENERO;R. excepción;17.154
Chapinero;2023 ENERO;R. excepción;4.524
Santa Fe;2023 ENERO;R. excepción;2.653
San Cristóbal;2023 ENERO;R. excepción;7.745
Usme;2023 ENERO;R. excepción;4.708
Tunjuelito;2023 ENERO;R. excepción;6.094
Bosa;2023 ENERO;R. excepción;9.024
Kennedy;2023 ENERO;R. excepción;34.829
Fontibón;2023 ENERO;R. excepción;9.977
Engativá;2023 ENERO;R. excepción;21.961
Suba;2023 ENERO;R. excepción;33.247
Barrios Unidos;2023 ENERO;R. excepción;3.741
Teusaquillo;2023 ENERO;R. excepción;8.1
Los Mártires;2023 ENERO;R. excepción;1.726
Antonio Nariño;2023 ENERO;R. excepción;2.665
Puente Aranda;2023 ENERO;R. excepción;7.437
La Candelaria;2023 ENERO;R. excepción;282
Rafael Uribe Uribe;2023 ENERO;R. excepción;7.442
Ciudad Bolívar;2023 ENERO;R. excepción;7.26
Sumapaz;2023 ENERO;R. excepción;34
Sin dato de localidad;2023 ENERO;R. excepción;
Distrito;2023 ENERO;R. excepción;190.603
Usaquén;2023 ENERO;R. subsidiado;36.777
Chapinero;2023 ENERO;R. subsidiado;9.824
Santa Fe;2023 ENERO;R. subsidiado;32.846
San Cristóbal;2023 ENERO;R. subsidiado;107.66
Usme;2023 ENERO;R. subsidiado;121.513
Tunjuelito;2023 ENERO;R. subsidiado;40.957
Bosa;2023 ENERO;R. subsidiado;174.432
Kennedy;2023 ENERO;R. subsidiado;162.3
Fontibón;2023 ENERO;R. subsidiado;29.432
Engativá;2023 ENERO;R. subsidiado;94.306
Suba;2023 ENERO;R. subsidiado;117.124
Barrios Unidos;2023 ENERO;R. subsidiado;12.069
Teusaquillo;2023 ENERO;R. subsidiado;2.868
Los Mártires;2023 ENERO;R. subsidiado;17.717
Antonio Nariño;2023 ENERO;R. subsidiado;11.701
Puente Aranda;2023 ENERO;R. subsidiado;22.032
La Candelaria;2023 ENERO;R. subsidiado;5.791
Rafael Uribe Uribe;2023 ENERO;R. subsidiado;101.878
Ciudad Bolívar;2023 ENERO;R. subsidiado;207.46
Sumapaz;2023 ENERO;R. subsidiado;1.418
Sin dato de localidad;2023 ENERO;R. subsidiado;392.452
Distrito;2023 ENERO;R. subsidiado;1,702,557
Usaquén;2023 ENERO;No afiliados;0
Chapinero;2023 ENERO;No afiliados;0
Santa Fe;2023 ENERO;No afiliados;0
San Cristóbal;2023 ENERO;No afiliados;0
Usme;2023 ENERO;No afiliados;0
Tunjuelito;2023 ENERO;No afiliados;0
Bosa;2023 ENERO;No afiliados;0
Kennedy;2023 ENERO;No afiliados;0
Fontibón;2023 ENERO;No afiliados;0
Engativá;2023 ENERO;No afiliados;0
Suba;2023 ENERO;No afiliados;0
Barrios Unidos;2023 ENERO;No afiliados;0
Teusaquillo;2023 ENERO;No afiliados;0
Los Mártires;2023 ENERO;No afiliados;0
Antonio Nariño;2023 ENERO;No afiliados;0
Puente Aranda;2023 ENERO;No afiliados;0
La Candelaria;2023 ENERO;No afiliados;0
Rafael Uribe Uribe;2023 ENERO;No afiliados;0
Ciudad Bolívar;2023 ENERO;No afiliados;0
Sumapaz;2023 ENERO;No afiliados;0
Sin dato de localidad;2023 ENERO;No afiliados;0
Distrito;2023 ENERO;No afiliados;0
Usaquén;2023 FEBRERO;R. contributivo;533413
Chapinero;2023 FEBRERO;R. contributivo;165178
Santa Fe;2023 FEBRERO;R. contributivo;63306
San Cristóbal;2023 FEBRERO;R. contributivo;280103
Usme;2023 FEBRERO;R. contributivo;230704
Tunjuelito;2023 FEBRERO;R. contributivo;119694
Bosa;2023 FEBRERO;R. contributivo;497405
Kennedy;2023 FEBRERO;R. contributivo;782558
Fontibón;2023 FEBRERO;R. contributivo;359475
Engativá;2023 FEBRERO;R. contributivo;696218
Suba;2023 FEBRERO;R. contributivo;1116922
Barrios Unidos;2023 FEBRERO;R. contributivo;130203
Teusaquillo;2023 FEBRERO;R. contributivo;163234
Los Mártires;2023 FEBRERO;R. contributivo;50371
Antonio Nariño;2023 FEBRERO;R. contributivo;65287
Puente Aranda;2023 FEBRERO;R. contributivo;217389
La Candelaria;2023 FEBRERO;R. contributivo;12188
Rafael Uribe Uribe;2023 FEBRERO;R. contributivo;249676
Ciudad Bolívar;2023 FEBRERO;R. contributivo;389564
Sumapaz;2023 FEBRERO;R. contributivo;1317
Sin dato de localidad;2023 FEBRERO;R. contributivo;
Distrito;2023 FEBRERO;R. contributivo;6124205
Usaquén;2023 FEBRERO;R. excepción;17154
Chapinero;2023 FEBRERO;R. excepción;4524
Santa Fe;2023 FEBRERO;R. excepción;2653
San Cristóbal;2023 FEBRERO;R. excepción;7745
Usme;2023 FEBRERO;R. excepción;4708
Tunjuelito;2023 FEBRERO;R. excepción;6094
Bosa;2023 FEBRERO;R. excepción;9024
Kennedy;2023 FEBRERO;R. excepción;34829
Fontibón;2023 FEBRERO;R. excepción;9977
Engativá;2023 FEBRERO;R. excepción;21961
Suba;2023 FEBRERO;R. excepción;33247
Barrios Unidos;2023 FEBRERO;R. excepción;3741
Teusaquillo;2023 FEBRERO;R. excepción;8100
Los Mártires;2023 FEBRERO;R. excepción;1726
Antonio Nariño;2023 FEBRERO;R. excepción;2665
Puente Aranda;2023 FEBRERO;R. excepción;7437
La Candelaria;2023 FEBRERO;R. excepción;282
Rafael Uribe Uribe;2023 FEBRERO;R. excepción;7442
Ciudad Bolívar;2023 FEBRERO;R. excepción;7260
Sumapaz;2023 FEBRERO;R. excepción;34
Sin dato de localidad;2023 FEBRERO;R. excepción;
Distrito;2023 FEBRERO;R. excepción;190603
Usaquén;2023 FEBRERO;R. subsidiado;37239
Chapinero;2023 FEBRERO;R. subsidiado;9923
Santa Fe;2023 FEBRERO;R. subsidiado;33043
San Cristóbal;2023 FEBRERO;R. subsidiado;108915
Usme;2023 FEBRERO;R. subsidiado;123060
Tunjuelito;2023 FEBRERO;R. subsidiado;41373
Bosa;2023 FEBRERO;R. subsidiado;176091
Kennedy;2023 FEBRERO;R. subsidiado;164032
Fontibón;2023 FEBRERO;R. subsidiado;29714
Engativá;2023 FEBRERO;R. subsidiado;95709
Suba;2023 FEBRERO;R. subsidiado;118952
Barrios Unidos;2023 FEBRERO;R. subsidiado;12177
Teusaquillo;2023 FEBRERO;R. subsidiado;2914
Los Mártires;2023 FEBRERO;R. subsidiado;17884
Antonio Nariño;2023 FEBRERO;R. subsidiado;11817
Puente Aranda;2023 FEBRERO;R. subsidiado;22256
La Candelaria;2023 FEBRERO;R. subsidiado;5875
Rafael Uribe Uribe;2023 FEBRERO;R. subsidiado;103256
Ciudad Bolívar;2023 FEBRERO;R. subsidiado;209880
Sumapaz;2023 FEBRERO;R. subsidiado;1432
Sin dato de localidad;2023 FEBRERO;R. subsidiado;411955
Distrito;2023 FEBRERO;R. subsidiado;1737497
Usaquén;2023 FEBRERO;No afiliados;0
Chapinero;2023 FEBRERO;No afiliados;0
Santa Fe;2023 FEBRERO;No afiliados;0
San Cristóbal;2023 FEBRERO;No afiliados;0
Usme;2023 FEBRERO;No afiliados;0
Tunjuelito;2023 FEBRERO;No afiliados;0
Bosa;2023 FEBRERO;No afiliados;0
Kennedy;2023 FEBRERO;No afiliados;0
Fontibón;2023 FEBRERO;No afiliados;0
Engativá;2023 FEBRERO;No afiliados;0
Suba;2023 FEBRERO;No afiliados;0
Barrios Unidos;2023 FEBRERO;No afiliados;0
Teusaquillo;2023 FEBRERO;No afiliados;0
Los Mártires;2023 FEBRERO;No afiliados;0
Antonio Nariño;2023 FEBRERO;No afiliados;0
Puente Aranda;2023 FEBRERO;No afiliados;0
La Candelaria;2023 FEBRERO;No afiliados;0
Rafael Uribe Uribe;2023 FEBRERO;No afiliados;0
Ciudad Bolívar;2023 FEBRERO;No afiliados;0
Sumapaz;2023 FEBRERO;No afiliados;0
Sin dato de localidad;2023 FEBRERO;No afiliados;0
Distrito;2023 FEBRERO;No afiliados;0
Usaquén;2023 MARZO;R. contributivo;535.13
Chapinero;2023 MARZO;R. contributivo;165.71
Santa Fe;2023 MARZO;R. contributivo;63.51
San Cristóbal;2023 MARZO;R. contributivo;281.005
Usme;2023 MARZO;R. contributivo;231.446
Tunjuelito;2023 MARZO;R. contributivo;120.079
Bosa;2023 MARZO;R. contributivo;499.005
Kennedy;2023 MARZO;R. contributivo;785.076
Fontibón;2023 MARZO;R. contributivo;360.632
Engativá;2023 MARZO;R. contributivo;698.459
Suba;2023 MARZO;R. contributivo;1,120,518
Barrios Unidos;2023 MARZO;R. contributivo;130.622
Teusaquillo;2023 MARZO;R. contributivo;163.759
Los Mártires;2023 MARZO;R. contributivo;50.533
Antonio Nariño;2023 MARZO;R. contributivo;65.497
Puente Aranda;2023 MARZO;R. contributivo;218.088
La Candelaria;2023 MARZO;R. contributivo;12.227
Rafael Uribe Uribe;2023 MARZO;R. contributivo;250.48
Ciudad Bolívar;2023 MARZO;R. contributivo;390.818
Sumapaz;2023 MARZO;R. contributivo;1.321
Sin dato de localidad;2023 MARZO;R. contributivo;
Distrito;2023 MARZO;R. contributivo;6,143,915
Usaquén;2023 MARZO;R. excepción;17.154
Chapinero;2023 MARZO;R. excepción;4.524
Santa Fe;2023 MARZO;R. excepción;2.653
San Cristóbal;2023 MARZO;R. excepción;7.745
Usme;2023 MARZO;R. excepción;4.708
Tunjuelito;2023 MARZO;R. excepción;6.094
Bosa;2023 MARZO;R. excepción;9.024
Kennedy;2023 MARZO;R. excepción;34.829
Fontibón;2023 MARZO;R. excepción;9.977
Engativá;2023 MARZO;R. excepción;21.961
Suba;2023 MARZO;R. excepción;33.247
Barrios Unidos;2023 MARZO;R. excepción;3.741
Teusaquillo;2023 MARZO;R. excepción;8.1
Los Mártires;2023 MARZO;R. excepción;1.726
Antonio Nariño;2023 MARZO;R. excepción;2.665
Puente Aranda;2023 MARZO;R. excepción;7.437
La Candelaria;2023 MARZO;R. excepción;282
Rafael Uribe Uribe;2023 MARZO;R. excepción;7.442
Ciudad Bolívar;2023 MARZO;R. excepción;7.26
Sumapaz;2023 MARZO;R. excepción;34
Sin dato de localidad;2023 MARZO;R. excepción;
Distrito;2023 MARZO;R. excepción;190.603
Usaquén;2023 MARZO;R. subsidiado;36.662
Chapinero;2023 MARZO;R. subsidiado;9.734
Santa Fe;2023 MARZO;R. subsidiado;32.785
San Cristóbal;2023 MARZO;R. subsidiado;107.368
Usme;2023 MARZO;R. subsidiado;121.412
Tunjuelito;2023 MARZO;R. subsidiado;40.801
Bosa;2023 MARZO;R. subsidiado;173.691
Kennedy;2023 MARZO;R. subsidiado;162.006
Fontibón;2023 MARZO;R. subsidiado;29.308
Engativá;2023 MARZO;R. subsidiado;94.594
Suba;2023 MARZO;R. subsidiado;117.171
Barrios Unidos;2023 MARZO;R. subsidiado;12.001
Teusaquillo;2023 MARZO;R. subsidiado;2.88
Los Mártires;2023 MARZO;R. subsidiado;17.733
Antonio Nariño;2023 MARZO;R. subsidiado;11.729
Puente Aranda;2023 MARZO;R. subsidiado;22.168
La Candelaria;2023 MARZO;R. subsidiado;5.815
Rafael Uribe Uribe;2023 MARZO;R. subsidiado;101.925
Ciudad Bolívar;2023 MARZO;R. subsidiado;206.772
Sumapaz;2023 MARZO;R. subsidiado;1.408
Sin dato de localidad;2023 MARZO;R. subsidiado;422.624
Distrito;2023 MARZO;R. subsidiado;1,730,587
Usaquén;2023 MARZO;No afiliados;0
Chapinero;2023 MARZO;No afiliados;0
Santa Fe;2023 MARZO;No afiliados;0
San Cristóbal;2023 MARZO;No afiliados;0
Usme;2023 MARZO;No afiliados;0
Tunjuelito;2023 MARZO;No afiliados;0
Bosa;2023 MARZO;No afiliados;0
Kennedy;2023 MARZO;No afiliados;0
Fontibón;2023 MARZO;No afiliados;0
Engativá;2023 MARZO;No afiliados;0
Suba;2023 MARZO;No afiliados;0
Barrios Unidos;2023 MARZO;No afiliados;0
Teusaquillo;2023 MARZO;No afiliados;0
Los Mártires;2023 MARZO;No afiliados;0
Antonio Nariño;2023 MARZO;No afiliados;0
Puente Aranda;2023 MARZO;No afiliados;0
La Candelaria;2023 MARZO;No afiliados;0
Rafael Uribe Uribe;2023 MARZO;No afiliados;0
Ciudad Bolívar;2023 MARZO;No afiliados;0
Sumapaz;2023 MARZO;No afiliados;0
Sin dato de localidad;2023 MARZO;No afiliados;0
Distrito;2023 MARZO;No afiliados;0
Usaquén;2023 ABRIL;R. contributivo;535,37
Chapinero;2023 ABRIL;R. contributivo;165,784
Santa Fe;2023 ABRIL;R. contributivo;63,539
San Cristóbal;2023 ABRIL;R. contributivo;281,131
Usme;2023 ABRIL;R. contributivo;231,55
Tunjuelito;2023 ABRIL;R. contributivo;120,133
Bosa;2023 ABRIL;R. contributivo;499,229
Kennedy;2023 ABRIL;R. contributivo;785,429
Fontibón;2023 ABRIL;R. contributivo;360,794
Engativá;2023 ABRIL;R. contributivo;698,773
Suba;2023 ABRIL;R. contributivo;1,121,020
Barrios Unidos;2023 ABRIL;R. contributivo;130,68
Teusaquillo;2023 ABRIL;R. contributivo;163,833
Los Mártires;2023 ABRIL;R. contributivo;50,556
Antonio Nariño;2023 ABRIL;R. contributivo;65,527
Puente Aranda;2023 ABRIL;R. contributivo;218,186
La Candelaria;2023 ABRIL;R. contributivo;12,232
Rafael Uribe Uribe;2023 ABRIL;R. contributivo;250,592
Ciudad Bolívar;2023 ABRIL;R. contributivo;390,993
Sumapaz;2023 ABRIL;R. contributivo;1,322
Sin dato de localidad;2023 ABRIL;R. contributivo;
Distrito;2023 ABRIL;R. contributivo;6,146,673
Usaquén;2023 ABRIL;R. excepción;17,154
Chapinero;2023 ABRIL;R. excepción;4,524
Santa Fe;2023 ABRIL;R. excepción;2,653
San Cristóbal;2023 ABRIL;R. excepción;7,745
Usme;2023 ABRIL;R. excepción;4,708
Tunjuelito;2023 ABRIL;R. excepción;6,094
Bosa;2023 ABRIL;R. excepción;9,024
Kennedy;2023 ABRIL;R. excepción;34,829
Fontibón;2023 ABRIL;R. excepción;9,977
Engativá;2023 ABRIL;R. excepción;21,961
Suba;2023 ABRIL;R. excepción;33,247
Barrios Unidos;2023 ABRIL;R. excepción;3,741
Teusaquillo;2023 ABRIL;R. excepción;8,1
Los Mártires;2023 ABRIL;R. excepción;1,726
Antonio Nariño;2023 ABRIL;R. excepción;2,665
Puente Aranda;2023 ABRIL;R. excepción;7,437
La Candelaria;2023 ABRIL;R. excepción;282
Rafael Uribe Uribe;2023 ABRIL;R. excepción;7,442
Ciudad Bolívar;2023 ABRIL;R. excepción;7,26
Sumapaz;2023 ABRIL;R. excepción;34
Sin dato de localidad;2023 ABRIL;R. excepción;
Distrito;2023 ABRIL;R. excepción;190,603
Usaquén;2023 ABRIL;R. subsidiado;37,319
Chapinero;2023 ABRIL;R. subsidiado;9,778
Santa Fe;2023 ABRIL;R. subsidiado;33,047
San Cristóbal;2023 ABRIL;R. subsidiado;108,79
Usme;2023 ABRIL;R. subsidiado;123,086
Tunjuelito;2023 ABRIL;R. subsidiado;41,231
Bosa;2023 ABRIL;R. subsidiado;176,124
Kennedy;2023 ABRIL;R. subsidiado;164,147
Fontibón;2023 ABRIL;R. subsidiado;29,833
Engativá;2023 ABRIL;R. subsidiado;96,056
Suba;2023 ABRIL;R. subsidiado;119,365
Barrios Unidos;2023 ABRIL;R. subsidiado;12,106
Teusaquillo;2023 ABRIL;R. subsidiado;2,913
Los Mártires;2023 ABRIL;R. subsidiado;17,814
Antonio Nariño;2023 ABRIL;R. subsidiado;11,887
Puente Aranda;2023 ABRIL;R. subsidiado;22,431
La Candelaria;2023 ABRIL;R. subsidiado;5,869
Rafael Uribe Uribe;2023 ABRIL;R. subsidiado;103,213
Ciudad Bolívar;2023 ABRIL;R. subsidiado;209,558
Sumapaz;2023 ABRIL;R. subsidiado;1,418
Sin dato de localidad;2023 ABRIL;R. subsidiado;378,084
Distrito;2023 ABRIL;R. subsidiado;1,704,069
Usaquén;2023 ABRIL;No afiliados;0
Chapinero;2023 ABRIL;No afiliados;0
Santa Fe;2023 ABRIL;No afiliados;0
San Cristóbal;2023 ABRIL;No afiliados;0
Usme;2023 ABRIL;No afiliados;0
Tunjuelito;2023 ABRIL;No afiliados;0
Bosa;2023 ABRIL;No afiliados;0
Kennedy;2023 ABRIL;No afiliados;0
Fontibón;2023 ABRIL;No afiliados;0
Engativá;2023 ABRIL;No afiliados;0
Suba;2023 ABRIL;No afiliados;0
Barrios Unidos;2023 ABRIL;No afiliados;0
Teusaquillo;2023 ABRIL;No afiliados;0
Los Mártires;2023 ABRIL;No afiliados;0
Antonio Nariño;2023 ABRIL;No afiliados;0
Puente Aranda;2023 ABRIL;No afiliados;0
La Candelaria;2023 ABRIL;No afiliados;0
Rafael Uribe Uribe;2023 ABRIL;No afiliados;0
Ciudad Bolívar;2023 ABRIL;No afiliados;0
Sumapaz;2023 ABRIL;No afiliados;0
Sin dato de localidad;2023 ABRIL;No afiliados;0
Distrito;2023 ABRIL;No afiliados;0
Usaquén;2023 MAYO;R. contributivo;535,229
Chapinero;2023 MAYO;R. contributivo;165,74
Santa Fe;2023 MAYO;R. contributivo;63,522
San Cristóbal;2023 MAYO;R. contributivo;281,057
Usme;2023 MAYO;R. contributivo;231,489
Tunjuelito;2023 MAYO;R. contributivo;120,101
Bosa;2023 MAYO;R. contributivo;499,098
Kennedy;2023 MAYO;R. contributivo;785,222
Fontibón;2023 MAYO;R. contributivo;360,698
Engativá;2023 MAYO;R. contributivo;698,589
Suba;2023 MAYO;R. contributivo;1,120,726
Barrios Unidos;2023 MAYO;R. contributivo;130,646
Teusaquillo;2023 MAYO;R. contributivo;163,789
Los Mártires;2023 MAYO;R. contributivo;50,542
Antonio Nariño;2023 MAYO;R. contributivo;65,51
Puente Aranda;2023 MAYO;R. contributivo;218,129
La Candelaria;2023 MAYO;R. contributivo;12,229
Rafael Uribe Uribe;2023 MAYO;R. contributivo;250,526
Ciudad Bolívar;2023 MAYO;R. contributivo;390,89
Sumapaz;2023 MAYO;R. contributivo;1,322
Sin dato de localidad;2023 MAYO;R. contributivo;
Distrito;2023 MAYO;R. contributivo;6,145,054
Usaquén;2023 MAYO;R. excepción;17,166
Chapinero;2023 MAYO;R. excepción;4,527
Santa Fe;2023 MAYO;R. excepción;2,655
San Cristóbal;2023 MAYO;R. excepción;7,751
Usme;2023 MAYO;R. excepción;4,711
Tunjuelito;2023 MAYO;R. excepción;6,098
Bosa;2023 MAYO;R. excepción;9,031
Kennedy;2023 MAYO;R. excepción;34,854
Fontibón;2023 MAYO;R. excepción;9,984
Engativá;2023 MAYO;R. excepción;21,977
Suba;2023 MAYO;R. excepción;33,271
Barrios Unidos;2023 MAYO;R. excepción;3,743
Teusaquillo;2023 MAYO;R. excepción;8,106
Los Mártires;2023 MAYO;R. excepción;1,727
