Localidad;Año;Regimen afiliación;Estimado afiliados
Chapinero;2014;R. subsidiado;9,742
Santa Fe;2014;R. subsidiado;35,668
San Cristóbal;2014;R. subsidiado;114,537
Usme;2014;R. subsidiado;115,135
Tunjuelito;2014;R. subsidiado;41,843
Bosa;2014;R. subsidiado;150,602
Kennedy;2014;R. subsidiado;148,398
Fontibón;2014;R. subsidiado;26,552
Engativá;2014;R. subsidiado;73,725
Suba;2014;R. subsidiado;93,429
Barrios Unidos;2014;R. subsidiado;12,868
Teusaquillo;2014;R. subsidiado;1,827
Los Mártires;2014;R. subsidiado;16,349
Antonio Nariño;2014;R. subsidiado;9,411
Puente Aranda;2014;R. subsidiado;19,871
La Candelaria;2014;R. subsidiado;4,864
Rafael Uribe Uribe;2014;R. subsidiado;96,736
Ciudad Bolívar;2014;R. subsidiado;205,518
Sumapaz;2014;R. subsidiado;1,473
Sin dato de localidad;2014;R. subsidiado;65,329
Distrito;2014;R. subsidiado;1,274,295
Usaquén;2014;No afiliados;7,203
Chapinero;2014;No afiliados;1,355
Santa Fe;2014;No afiliados;3,912
San Cristóbal;2014;No afiliados;20.39
Usme;2014;No afiliados;17,938
Tunjuelito;2014;No afiliados;9,243
Bosa;2014;No afiliados;32,336
Kennedy;2014;No afiliados;50,185
Fontibón;2014;No afiliados;10,027
Engativá;2014;No afiliados;30,179
Suba;2014;No afiliados;33.44
Barrios Unidos;2014;No afiliados;2,828
Teusaquillo;2014;No afiliados;458
Los Mártires;2014;No afiliados;3,306
Antonio Nariño;2014;No afiliados;3.36
Puente Aranda;2014;No afiliados;8,651
La Candelaria;2014;No afiliados;522
Rafael Uribe Uribe;2014;No afiliados;19,865
Ciudad Bolívar;2014;No afiliados;32,391
Sumapaz;2014;No afiliados;156
Sin dato de localidad;2014;No afiliados;0
Distrito;2014;No afiliados;287,745
Usaquén;2015;R. contributivo;441,267
Chapinero;2015;R. contributivo;121,018
Santa Fe;2015;R. contributivo;64,599
San Cristóbal;2015;R. contributivo;283,454
Usme;2015;R. contributivo;263,474
Tunjuelito;2015;R. contributivo;150,655
Bosa;2015;R. contributivo;412,149
Kennedy;2015;R. contributivo;803,693
Fontibón;2015;R. contributivo;317,552
Engativá;2015;R. contributivo;751,719
Suba;2015;R. contributivo;1,000,981
Barrios Unidos;2015;R. contributivo;218,185
Teusaquillo;2015;R. contributivo;144.25
Los Mártires;2015;R. contributivo;69,347
Antonio Nariño;2015;R. contributivo;88,705
Puente Aranda;2015;R. contributivo;218,926
La Candelaria;2015;R. contributivo;15,906
Rafael Uribe Uribe;2015;R. contributivo;273,067
Ciudad Bolívar;2015;R. contributivo;431.82
Sumapaz;2015;R. contributivo;1,473
Sin dato de localidad;2015;R. contributivo;0
Distrito;2015;R. contributivo;6,072,240
Usaquén;2015;R. excepción;18,775
Chapinero;2015;R. excepción;2,895
Santa Fe;2015;R. excepción;1,541
San Cristóbal;2015;R. excepción;4,872
Usme;2015;R. excepción;4.76
Tunjuelito;2015;R. excepción;7,002
Bosa;2015;R. excepción;10,349
Kennedy;2015;R. excepción;32,084
Fontibón;2015;R. excepción;12,935
Engativá;2015;R. excepción;30,616
Suba;2015;R. excepción;35,242
Barrios Unidos;2015;R. excepción;6,265
Teusaquillo;2015;R. excepción;7,101
Los Mártires;2015;R. excepción;2,765
Antonio Nariño;2015;R. excepción;3,813
Puente Aranda;2015;R. excepción;6,719
La Candelaria;2015;R. excepción;747
Rafael Uribe Uribe;2015;R. excepción;7,127
Ciudad Bolívar;2015;R. excepción;8,255
Sumapaz;2015;R. excepción;26
Sin dato de localidad;2015;R. excepción;0
Distrito;2015;R. excepción;203,889
Usaquén;2015;R. subsidiado;30.33
Chapinero;2015;R. subsidiado;9,191
Santa Fe;2015;R. subsidiado;33,081
San Cristóbal;2015;R. subsidiado;107,807
Usme;2015;R. subsidiado;107,104
Tunjuelito;2015;R. subsidiado;38.24
Bosa;2015;R. subsidiado;143.58
Kennedy;2015;R. subsidiado;138,543
Fontibón;2015;R. subsidiado;26,154
Engativá;2015;R. subsidiado;80,904
Suba;2015;R. subsidiado;96,317
Barrios Unidos;2015;R. subsidiado;14.45
Teusaquillo;2015;R. subsidiado;2,158
Los Mártires;2015;R. subsidiado;18,094
Antonio Nariño;2015;R. subsidiado;10,823
Puente Aranda;2015;R. subsidiado;21,932
La Candelaria;2015;R. subsidiado;6,289
Rafael Uribe Uribe;2015;R. subsidiado;102.66
Ciudad Bolívar;2015;R. subsidiado;210,763
Sumapaz;2015;R. subsidiado;1,559
Sin dato de localidad;2015;R. subsidiado;91,179
Distrito;2015;R. subsidiado;1,291,158
Usaquén;2015;No afiliados;4,118
Chapinero;2015;No afiliados;883
Santa Fe;2015;No afiliados;2,745
San Cristóbal;2015;No afiliados;13,671
Usme;2015;No afiliados;11,468
Tunjuelito;2015;No afiliados;6,529
Bosa;2015;No afiliados;20,501
Kennedy;2015;No afiliados;34,334
Fontibón;2015;No afiliados;6,467
Engativá;2015;No afiliados;18,991
Suba;2015;No afiliados;20,347
Barrios Unidos;2015;No afiliados;1,759
Teusaquillo;2015;No afiliados;287
Los Mártires;2015;No afiliados;2,367
Antonio Nariño;2015;No afiliados;2,315
Puente Aranda;2015;No afiliados;5,778
La Candelaria;2015;No afiliados;388
Rafael Uribe Uribe;2015;No afiliados;13,351
Ciudad Bolívar;2015;No afiliados;21,829
Sumapaz;2015;No afiliados;117
Sin dato de localidad;2015;No afiliados;0
Distrito;2015;No afiliados;188,245
Usaquén;2016;R. contributivo;406,755
Chapinero;2016;R. contributivo;107,284
Santa Fe;2016;R. contributivo;57,811
San Cristóbal;2016;R. contributivo;268,753
Usme;2016;R. contributivo;207,582
Tunjuelito;2016;R. contributivo;136,435
Bosa;2016;R. contributivo;476,346
Kennedy;2016;R. contributivo;903,686
Fontibón;2016;R. contributivo;343,382
Engativá;2016;R. contributivo;742,648
Suba;2016;R. contributivo;1,100,533
Barrios Unidos;2016;R. contributivo;239,036
Teusaquillo;2016;R. contributivo;127,738
Los Mártires;2016;R. contributivo;66,089
Antonio Nariño;2016;R. contributivo;87,635
Puente Aranda;2016;R. contributivo;191,265
La Candelaria;2016;R. contributivo;14,875
Rafael Uribe Uribe;2016;R. contributivo;249,659
Ciudad Bolívar;2016;R. contributivo;452,454
Sumapaz;2016;R. contributivo;1,568
Sin dato de localidad;2016;R. contributivo;0
Distrito;2016;R. contributivo;6,181,534
Usaquén;2016;R. excepción;17,971
Chapinero;2016;R. excepción;2,666
Santa Fe;2016;R. excepción;1,351
San Cristóbal;2016;R. excepción;4,757
Usme;2016;R. excepción;3,709
Tunjuelito;2016;R. excepción;6,633
Bosa;2016;R. excepción;11,345
Kennedy;2016;R. excepción;35,619
Fontibón;2016;R. excepción;13.72
Engativá;2016;R. excepción;30,564
Suba;2016;R. excepción;37,522
Barrios Unidos;2016;R. excepción;6,861
Teusaquillo;2016;R. excepción;6,616
Los Mártires;2016;R. excepción;2,636
Antonio Nariño;2016;R. excepción;3,825
Puente Aranda;2016;R. excepción;5,856
La Candelaria;2016;R. excepción;702
Rafael Uribe Uribe;2016;R. excepción;6,721
Ciudad Bolívar;2016;R. excepción;8,636
Sumapaz;2016;R. excepción;29
Sin dato de localidad;2016;R. excepción;0
Distrito;2016;R. excepción;207,739
Usaquén;2016;R. subsidiado;28,501
Chapinero;2016;R. subsidiado;8,532
Santa Fe;2016;R. subsidiado;32,978
San Cristóbal;2016;R. subsidiado;100,908
Usme;2016;R. subsidiado;104.34
Tunjuelito;2016;R. subsidiado;37,757
Bosa;2016;R. subsidiado;139,792
Kennedy;2016;R. subsidiado;135,321
Fontibón;2016;R. subsidiado;25,137
Engativá;2016;R. subsidiado;71.07
Suba;2016;R. subsidiado;87,985
Barrios Unidos;2016;R. subsidiado;12,154
Teusaquillo;2016;R. subsidiado;2,001
Los Mártires;2016;R. subsidiado;16,293
Antonio Nariño;2016;R. subsidiado;9,353
Puente Aranda;2016;R. subsidiado;19,385
La Candelaria;2016;R. subsidiado;4,604
Rafael Uribe Uribe;2016;R. subsidiado;88,099
Ciudad Bolívar;2016;R. subsidiado;187,553
Sumapaz;2016;R. subsidiado;1,424
Sin dato de localidad;2016;R. subsidiado;53,636
Distrito;2016;R. subsidiado;1,166,823
Usaquén;2016;No afiliados;1,251
Chapinero;2016;No afiliados;269
Santa Fe;2016;No afiliados;905
San Cristóbal;2016;No afiliados;3,316
Usme;2016;No afiliados;2,958
Tunjuelito;2016;No afiliados;1,659
Bosa;2016;No afiliados;4,991
Kennedy;2016;No afiliados;8.44
Fontibón;2016;No afiliados;1,533
Engativá;2016;No afiliados;4,988
Suba;2016;No afiliados;5,593
Barrios Unidos;2016;No afiliados;593
Teusaquillo;2016;No afiliados;144
Los Mártires;2016;No afiliados;844
Antonio Nariño;2016;No afiliados;689
Puente Aranda;2016;No afiliados;1,668
La Candelaria;2016;No afiliados;134
Rafael Uribe Uribe;2016;No afiliados;3.64
Ciudad Bolívar;2016;No afiliados;5,749
Sumapaz;2016;No afiliados;45
Sin dato de localidad;2016;No afiliados;0
Distrito;2016;No afiliados;49,409
Usaquén;2017;R. contributivo;409,843
Chapinero;2017;R. contributivo;108,099
Santa Fe;2017;R. contributivo;58.25
San Cristóbal;2017;R. contributivo;270,793
Usme;2017;R. contributivo;209,158
Tunjuelito;2017;R. contributivo;137,471
Bosa;2017;R. contributivo;479,963
Kennedy;2017;R. contributivo;910,546
Fontibón;2017;R. contributivo;345,989
Engativá;2017;R. contributivo;748,287
Suba;2017;R. contributivo;1,108,887
Barrios Unidos;2017;R. contributivo;240,851
Teusaquillo;2017;R. contributivo;128,708
Los Mártires;2017;R. contributivo;66,591
Antonio Nariño;2017;R. contributivo;88,301
Puente Aranda;2017;R. contributivo;192,717
La Candelaria;2017;R. contributivo;14,988
Rafael Uribe Uribe;2017;R. contributivo;251,554
Ciudad Bolívar;2017;R. contributivo;455,889
Sumapaz;2017;R. contributivo;1.58
Sin dato de localidad;2017;R. contributivo;0
Distrito;2017;R. contributivo;6,228,465
Usaquén;2017;R. excepción;18,019
Chapinero;2017;R. excepción;2,658
Santa Fe;2017;R. excepción;1,333
San Cristóbal;2017;R. excepción;4,732
Usme;2017;R. excepción;3,741
Tunjuelito;2017;R. excepción;6,579
Bosa;2017;R. excepción;11,697
Kennedy;2017;R. excepción;36,269
Fontibón;2017;R. excepción;14,067
Engativá;2017;R. excepción;30,745
Suba;2017;R. excepción;38,489
Barrios Unidos;2017;R. excepción;6,945
Teusaquillo;2017;R. excepción;6,602
Los Mártires;2017;R. excepción;2,624
Antonio Nariño;2017;R. excepción;3,824
Puente Aranda;2017;R. excepción;5.77
La Candelaria;2017;R. excepción;696
Rafael Uribe Uribe;2017;R. excepción;6,668
Ciudad Bolívar;2017;R. excepción;8,806
Sumapaz;2017;R. excepción;30
Sin dato de localidad;2017;R. excepción;0
Distrito;2017;R. excepción;210,294
Usaquén;2017;R. subsidiado;28.92
Chapinero;2017;R. subsidiado;8,456
Santa Fe;2017;R. subsidiado;32.94
San Cristóbal;2017;R. subsidiado;99,959
Usme;2017;R. subsidiado;104,342
Tunjuelito;2017;R. subsidiado;37,686
Bosa;2017;R. subsidiado;137,801
Kennedy;2017;R. subsidiado;135,369
Fontibón;2017;R. subsidiado;25,447
Engativá;2017;R. subsidiado;71,688
Suba;2017;R. subsidiado;89,164
Barrios Unidos;2017;R. subsidiado;12,216
Teusaquillo;2017;R. subsidiado;2,142
Los Mártires;2017;R. subsidiado;16,504
Antonio Nariño;2017;R. subsidiado;9,613
Puente Aranda;2017;R. subsidiado;19.93
La Candelaria;2017;R. subsidiado;4,572
Rafael Uribe Uribe;2017;R. subsidiado;87,938
Ciudad Bolívar;2017;R. subsidiado;186,193
Sumapaz;2017;R. subsidiado;1,346
Sin dato de localidad;2017;R. subsidiado;63,019
Distrito;2017;R. subsidiado;1,175,245
Usaquén;2017;No afiliados;1,049
Chapinero;2017;No afiliados;196
Santa Fe;2017;No afiliados;742
San Cristóbal;2017;No afiliados;2,542
Usme;2017;No afiliados;2,192
Tunjuelito;2017;No afiliados;1,416
Bosa;2017;No afiliados;3,751
Kennedy;2017;No afiliados;6,815
Fontibón;2017;No afiliados;1,205
Engativá;2017;No afiliados;3,841
Suba;2017;No afiliados;4,377
Barrios Unidos;2017;No afiliados;499
Teusaquillo;2017;No afiliados;136
Los Mártires;2017;No afiliados;717
Antonio Nariño;2017;No afiliados;537
Puente Aranda;2017;No afiliados;1,346
La Candelaria;2017;No afiliados;116
Rafael Uribe Uribe;2017;No afiliados;2,713
Ciudad Bolívar;2017;No afiliados;4,123
Sumapaz;2017;No afiliados;34
Sin dato de localidad;2017;No afiliados;0
Distrito;2017;No afiliados;38,347
Usaquén;2018;R. contributivo;428,872
Chapinero;2018;R. contributivo;111,016
